,respondent_id,city_of_residence,citizenship,data_id,reason_name,amount,currency,transaction_date,account,transaction_id,surveyor,tool,timeline,transaction_type,payment_type,date_created,date_last_updated,edit_count,description,file
139,254525,Mutare,Zimbabwe,IN00055236,Mdawini Tuckshop,820.0,ZWL,2020-10-10,,,,,Full payment,,Full payment,2020-10-15,2020-10-15,0,,income
140,254525,Mutare,Zimbabwe,IN00055237,Mdawini Tuckshop,1300.0,ZWL,2020-10-11,,,,,Full payment,,Full payment,2020-10-15,2020-10-15,0,,income
141,254525,Mutare,Zimbabwe,IN00055238,Mdawini Tuckshop,115.0,ZWL,2020-10-12,,,,,Full payment,,Full payment,2020-10-15,2020-10-15,0,,income
142,254525,Mutare,Zimbabwe,IN00055239,Mdawini Tuckshop,1200.0,ZWL,2020-10-13,,,,,Full payment,,Full payment,2020-10-15,2020-10-15,0,,income
143,254525,Mutare,Zimbabwe,IN00055240,Mdawini Tuckshop,800.0,ZWL,2020-10-14,,,,,Full payment,,Full payment,2020-10-15,2020-10-15,0,,income
144,254525,Mutare,Zimbabwe,IN00056605,Mdawini Tuckshop,5624.0,ZWL,2020-10-15,,,,,Full payment,,Full payment,2020-10-23,2020-10-23,0,,income
145,254525,Mutare,Zimbabwe,IN00056606,Mdawini Tuckshop,4109.0,ZWL,2020-10-16,,,,,Full payment,,Full payment,2020-10-23,2020-10-23,0,,income
146,254525,Mutare,Zimbabwe,IN00056608,Mdawini Tuckshop,1005.0,ZWL,2020-10-17,,,,,Full payment,,Full payment,2020-10-23,2020-10-23,0,,income
147,254525,Mutare,Zimbabwe,IN00056609,Mdawini Tuckshop,5429.0,ZWL,2020-10-18,,,,,Full payment,,Full payment,2020-10-23,2020-10-23,0,,income
148,254525,Mutare,Zimbabwe,IN00056610,Mdawini Tuckshop,4096.0,ZWL,2020-10-19,,,,,Full payment,,Full payment,2020-10-23,2020-10-23,0,,income
149,254525,Mutare,Zimbabwe,IN00057433,Mdawini Tuckshop,1640.0,ZWL,2020-10-22,,,,,Full payment,,Full payment,2020-10-29,2020-10-29,0,,income
150,254525,Mutare,Zimbabwe,IN00057434,Mdawini Tuckshop,1500.0,ZWL,2020-10-23,,,,,Full payment,,Full payment,2020-10-29,2020-10-29,0,,income
151,254525,Mutare,Zimbabwe,IN00057435,Mdawini Tuckshop,1247.0,ZWL,2020-10-24,,,,,Full payment,,Full payment,2020-10-29,2020-10-29,0,,income
152,254525,Mutare,Zimbabwe,IN00057436,Mdawini Tuckshop,1789.0,ZWL,2020-10-25,,,,,Full payment,,Full payment,2020-10-29,2020-10-29,0,,income
153,254525,Mutare,Zimbabwe,IN00057437,Mdawini Tuckshop,2100.0,ZWL,2020-10-26,,,,,Full payment,,Full payment,2020-10-29,2020-10-29,0,,income
